CustomerID,Age,Gender,SubscriptionType,MonthlyCharges,TenureMonths,SupportTickets,PaymentMethod,SatisfactionScore,UsageHoursPerWeek,Churn
7590-VHVEG,56,Female,Basic,29.85,1,9,Debit Card,6,33,No
5575-GNVDE,69,Male,Basic,56.95,34,0,Credit Card,3,38,No
3668-QPYBK,46,Male,Enterprise,53.85,2,7,Debit Card,9,14,Yes
7795-CFOCW,32,Male,Enterprise,42.3,45,4,Credit Card,10,11,No
9237-HQITU,60,Female,Enterprise,70.7,2,5,Debit Card,9,2,Yes
9305-CDSKC,25,Female,Premium,99.65,8,1,UPI,5,30,Yes
1452-KIOVK,38,Male,Enterprise,89.1,22,1,Credit Card,8,30,No
6713-OKOMC,56,Female,Enterprise,29.75,10,8,Net Banking,7,4,No
7892-POOKP,36,Female,Basic,104.8,28,2,Net Banking,9,13,Yes
6388-TABGU,40,Male,Enterprise,56.15,62,5,Debit Card,7,7,No
9763-GRSKD,28,Male,Basic,49.95,13,9,UPI,4,38,No
7469-LKBCI,28,Male,Enterprise,18.95,16,4,Debit Card,4,3,No
8091-TTVAX,41,Male,Basic,100.35,58,3,Debit Card,8,9,No
0280-XJGEX,53,Male,Enterprise,103.7,49,9,UPI,6,14,Yes
5129-JLPIS,57,Male,Basic,105.5,25,1,Credit Card,9,11,No
3655-SNQYZ,41,Female,Premium,113.25,69,7,Net Banking,10,37,No
8191-XWSZG,20,Female,Basic,20.65,52,9,UPI,7,14,No
9959-WOFKT,39,Male,Basic,106.7,71,6,Debit Card,7,19,No
4190-MFLUW,19,Female,Basic,55.2,10,10,Credit Card,4,8,Yes
4183-MYFRB,41,Female,Enterprise,90.05,21,1,Debit Card,3,7,No
8779-QRDMV,61,Male,Enterprise,39.65,1,5,Credit Card,8,7,Yes
1680-VDCWW,47,Male,Enterprise,19.8,12,7,Net Banking,7,3,No
1066-JKSGK,55,Male,Premium,20.15,1,6,Net Banking,4,3,Yes
3638-WEABW,19,Female,Premium,59.9,58,0,Credit Card,4,18,No
6322-HRPFA,38,Male,Basic,59.6,49,4,Net Banking,1,33,No
6865-JZNKO,50,Female,Premium,55.3,30,1,Debit Card,7,37,No
6467-CHFZW,29,Male,Basic,99.35,47,5,Credit Card,1,28,Yes
8665-UTDHZ,39,Male,Basic,30.2,1,6,Debit Card,10,36,Yes
5248-YGIJN,61,Male,Basic,90.25,72,6,Credit Card,10,16,No
8773-HHUOZ,42,Female,Premium,64.7,17,2,Debit Card,4,15,Yes
3841-NFECX,66,Female,Enterprise,96.35,71,6,Net Banking,3,29,No
4929-XIHVW,44,Male,Premium,95.5,2,4,UPI,3,18,No
6827-IEAUQ,59,Female,Basic,66.15,27,7,Debit Card,1,19,No
7310-EGVHZ,45,Male,Basic,20.2,1,7,Credit Card,4,29,No
3413-BMNZE,33,Male,Premium,45.25,1,6,Net Banking,1,6,No
6234-RAAPL,32,Female,Basic,99.9,72,5,Credit Card,8,27,No
6047-YHPVI,64,Male,Basic,69.7,5,1,Debit Card,1,7,Yes
6572-ADKRS,68,Female,Premium,74.8,46,5,Credit Card,6,27,No
5380-WJKOV,61,Male,Premium,106.35,34,10,Credit Card,7,19,Yes
8168-UQWWF,69,Female,Premium,97.85,11,8,Debit Card,10,17,Yes
8865-TNMNX,20,Male,Basic,49.55,10,1,Net Banking,2,11,No
9489-DEDVP,54,Female,Basic,69.2,70,0,Net Banking,4,5,No
9867-JCZSP,68,Female,Enterprise,20.75,17,10,Debit Card,3,2,No
4671-VJLCL,24,Female,Enterprise,79.85,63,4,Net Banking,9,12,No
4080-IIARD,38,Female,Premium,76.2,13,10,UPI,7,11,No
3714-NTNFO,26,Female,Enterprise,84.5,49,5,Credit Card,2,10,No
5948-UJZLF,56,Male,Basic,49.25,2,2,Debit Card,6,28,No
7760-OYPDY,35,Female,Enterprise,80.65,2,7,UPI,9,7,Yes
7639-LIAYI,21,Male,Basic,79.75,52,6,Credit Card,3,14,No
2954-PIBKO,42,Female,Premium,64.15,69,1,Debit Card,6,13,No
8012-SOUDQ,31,Female,Premium,90.25,43,6,Net Banking,3,5,No
9420-LOJKX,67,Female,Basic,99.1,15,0,Debit Card,3,8,Yes
6575-SUVOI,26,Female,Enterprise,69.5,25,8,Debit Card,4,1,No
7495-OOKFY,43,Female,Premium,80.65,8,6,Credit Card,9,5,Yes
4667-QONEA,19,Female,Premium,74.85,60,5,Credit Card,8,11,No
1658-BYGOY,37,Male,Enterprise,95.45,18,1,Credit Card,1,10,Yes
8769-KKTPH,45,Female,Enterprise,99.65,63,2,UPI,1,15,No
5067-XJQFU,64,Male,Basic,108.45,66,0,Net Banking,7,39,No
3957-SQXML,24,Female,Enterprise,24.95,34,9,Debit Card,3,29,No
5954-BDFSG,61,Female,Enterprise,107.5,72,4,Debit Card,7,25,No
0434-CSFON,25,Female,Enterprise,100.5,47,8,Net Banking,9,6,No
1215-FIGMP,64,Male,Basic,89.9,60,5,Debit Card,3,11,No
0526-SXDJP,52,Male,Basic,42.1,72,4,Credit Card,3,17,No
0557-ASKVU,31,Female,Premium,54.4,18,2,Debit Card,2,15,No
5698-BQJOH,34,Female,Basic,94.4,9,4,Net Banking,10,16,Yes
5122-CYFXA,53,Female,Premium,75.3,3,7,UPI,1,2,No
8627-ZYGSZ,67,Male,Enterprise,78.9,47,1,UPI,9,36,No
3410-YOQBQ,57,Female,Premium,79.2,31,4,Net Banking,6,19,No
3170-NMYVV,21,Female,Premium,20.15,50,5,Debit Card,6,38,No
7410-OIEDU,19,Male,Enterprise,79.85,10,9,Debit Card,8,21,No
2273-QCKXA,23,Male,Premium,49.05,1,7,UPI,5,11,No
0731-EBJQB,59,Female,Basic,20.4,52,7,Debit Card,9,3,No
1891-QRQSA,21,Male,Basic,111.6,64,4,UPI,5,34,No
8028-PNXHQ,46,Male,Basic,24.25,62,8,Net Banking,2,18,No
5630-AHZIL,35,Female,Basic,64.5,3,3,Net Banking,6,15,No
2673-CXQEU,43,Female,Premium,110.5,56,8,Debit Card,9,25,No
6416-JNVRK,61,Female,Premium,55.65,46,10,Credit Card,3,15,No
5590-ZSKRV,51,Female,Enterprise,54.65,8,6,Credit Card,10,30,No
0191-ZHSKZ,27,Male,Premium,74.75,30,5,UPI,4,17,No
3887-PBQAO,53,Female,Premium,25.9,45,3,Net Banking,10,18,No
5919-TMRGD,31,Female,Premium,79.35,1,1,UPI,8,31,Yes
8108-UXRQN,48,Female,Enterprise,50.55,11,7,Net Banking,6,18,No
9191-MYQKX,65,Female,Basic,75.15,7,5,UPI,7,35,Yes
9919-YLNNG,32,Female,Premium,103.8,42,2,UPI,7,13,No
0318-ZOPWS,25,Female,Enterprise,20.15,49,6,UPI,4,14,No
4445-ZJNMU,31,Male,Enterprise,99.3,9,9,Debit Card,6,36,No
4808-YNLEU,40,Female,Enterprise,62.15,35,6,Credit Card,9,18,No
1862-QRWPE,57,Female,Basic,20.65,48,5,Net Banking,3,5,No
2796-NNUFI,38,Female,Premium,19.95,46,1,UPI,8,14,No
3016-KSVCP,33,Male,Enterprise,33.75,29,7,Credit Card,7,25,No
4767-HZZHQ,62,Male,Basic,82.05,30,0,UPI,4,39,No
2424-WVHPL,35,Male,Enterprise,74.7,1,0,UPI,10,12,No
7233-PAHHL,64,Male,Enterprise,84.0,66,5,Net Banking,3,40,No
6067-NGCEU,41,Female,Enterprise,111.05,65,4,Debit Card,7,28,No
9848-JQJTX,43,Male,Enterprise,100.9,72,8,UPI,10,35,No
8637-XJIVR,42,Female,Enterprise,78.95,12,6,Net Banking,9,1,Yes
9803-FTJCG,62,Male,Basic,66.85,71,1,Debit Card,10,3,No
0278-YXOOG,58,Male,Premium,21.05,5,6,Debit Card,3,7,Yes
3212-KXOCR,46,Male,Premium,21.0,52,2,Credit Card,10,9,No
4598-XLKNJ,32,Female,Premium,98.5,25,0,Credit Card,9,36,Yes
6380-ARCEH,62,Male,Premium,20.2,1,10,UPI,8,23,No
3679-XASPY,18,Female,Basic,19.45,1,7,Credit Card,3,24,No
7123-WQUHX,42,Male,Basic,95.0,38,2,Net Banking,8,10,No
5386-THSLQ,24,Female,Basic,45.55,66,10,Net Banking,4,12,No
3192-NQECA,26,Male,Enterprise,110.0,68,7,Credit Card,6,19,Yes
6180-YBIQI,41,Male,Enterprise,24.3,5,6,Net Banking,10,32,No
6728-DKUCO,18,Female,Enterprise,104.15,72,1,Net Banking,2,24,No
9750-BOOHV,61,Female,Premium,30.15,32,0,UPI,8,22,No
8597-CWYHH,25,Male,Enterprise,94.35,43,6,UPI,9,3,No
2848-YXSMW,41,Male,Premium,19.4,72,0,Net Banking,7,40,No
0486-HECZI,28,Male,Enterprise,96.75,55,5,Credit Card,8,27,Yes
4549-ZDQYY,68,Female,Premium,57.95,52,10,Net Banking,7,19,No
5712-AHQNN,34,Female,Enterprise,91.65,43,9,Debit Card,10,9,No
4846-WHAFZ,25,Female,Enterprise,76.5,37,10,Debit Card,4,13,Yes
5256-SKJGO,52,Female,Basic,54.6,64,9,Debit Card,1,2,No
3071-VBYPO,52,Male,Enterprise,89.85,3,7,UPI,3,36,No
9560-BBZXK,50,Female,Enterprise,31.05,36,6,Credit Card,7,29,No
5299-RULOA,22,Female,Basic,100.25,10,3,Net Banking,7,11,Yes
8402-OOOHJ,59,Female,Premium,20.65,41,0,Credit Card,3,34,No
9445-ZUEQE,56,Male,Basic,85.2,27,0,Credit Card,1,4,No
1091-SOZGA,58,Female,Basic,99.8,56,3,Credit Card,10,4,No
2928-HLDBA,45,Female,Premium,20.7,6,4,Debit Card,9,1,No
0404-SWRVG,24,Male,Enterprise,74.4,3,6,Net Banking,6,25,Yes
6497-TILVL,26,Female,Premium,50.7,7,3,UPI,7,26,No
7219-TLZHO,25,Female,Enterprise,20.85,4,9,Credit Card,1,11,No
4622-YNKIJ,29,Male,Enterprise,88.95,33,0,Credit Card,1,23,No
4412-YLTKF,51,Female,Premium,78.05,27,10,Debit Card,4,2,Yes
6734-PSBAW,50,Male,Basic,23.55,72,9,Debit Card,7,19,No
3930-ZGWVE,65,Male,Premium,19.75,1,6,Net Banking,8,29,No
2639-UGMAZ,40,Male,Enterprise,56.45,71,1,UPI,10,40,No
